S.No,Year,Company,Death Claims - Non ULIP,Death Claims - ULIP,Others - Non ULIP,Others - ULIP,Policy Servicing - Non ULIP,Policy Servicing - ULIP,Proposal Processing - Non ULIP,Proposal Processing - ULIP,Survival Claims - Non ULIP,Survival Claims - ULIP,Unfair Business Practices - Non ULIP,Unfair Business Practices - ULIP
1,2012_13,LIC,1913,98,15691,1364,30318,1948,4643,327,11645,1072,2478,60
2,2012_13,Aegon Life,21,1,48,1,320,197,122,19,36,29,5547,985
3,2012_13,Aviva,21,11,1274,233,765,354,275,125,283,230,4416,154
4,2012_13,Bajaj Allianz,1345,893,197,154,989,816,495,334,3869,3870,21549,196
5,2012_13,Bharti AXA,45,0,52,7,605,3,963,3,169,11,2375,2841
6,2012_13,Birla Sunlife,87,84,678,554,1122,1910,717,565,851,1632,14531,7120
7,2012_13,Canara HSBC,6,13,9,1,109,829,530,1700,6,23,394,1480
8,2012_13,DHFL Pramerica,9,2,33,13,29,25,67,19,4,0,775,50
9,2012_13,Edelweiss Tokio,0,0,1,0,1,1,7,2,0,0,47,1
10,2012_13,Future Generali,32,6,34,12,21,30,5181,1352,11,26,589,280
11,2012_13,HDFC Standard,153,230,860,420,2851,2525,3304,2191,1802,1899,20653,13160
12,2012_13,ICICI Prudential,36,30,262,84,225,261,539,229,272,65,13082,3809
13,2012_13,IDBI Federal,24,2,24,2,20,8,23,4,9,7,469,204
14,2012_13,IndiaFirst,26,0,6,1,85,13,216,19,28,3,762,0
15,2012_13,Kotak Mahindra,27,5,250,57,137,101,106,24,120,39,5091,2618
16,2012_13,Max Life,161,55,84,70,1342,1613,2464,1207,520,2232,4129,1841
17,2012_13,PNB MetLife,85,31,11,9,60,210,51,62,67,122,1354,1552
18,2012_13,Reliance,213,38,340,119,661,404,2267,254,548,285,14851,1550
19,2012_13,Sahara,5,1,0,1,3,2,2,1,6,1,5,1
20,2012_13,SBI Life,61,24,199,99,502,433,4972,2639,471,689,6263,2070
21,2012_13,Shri Ram,4,3,12,8,12,7,9,0,7,0,146,11
22,2012_13,Star Union Daiichi,0,4,12,13,29,47,20,15,9,43,77,147
1,2013_14,LIC,2176,68,16761,1144,39014,1433,4823,217,15194,989,2458,42
2,2013_14,Aegon Life,11,4,39,6,484,383,112,20,114,202,4517,930
3,2013_14,Aviva,31,5,407,85,1077,258,209,56,200,140,3619,81
4,2013_14,Bajaj Allianz,637,140,326,94,825,282,424,146,2753,940,43820,110
